file,version,true_label,has_reentrancy_eth,num_reentrancy_detectors,cei_violation,num_external_calls,has_low_level_call,has_dangerous_call,num_functions,has_modifier,has_reentrancy_guard,has_emit_after_call,has_mutex_pattern,has_block_protection,num_require_assert,has_state_set_before_call,num_modifiers_applied,has_internal_ext_call,has_interface_cast,has_extcodesize,has_nested_mapping,lines_of_code,has_msg_value,has_payable
Block_ree1.sol,05,1,1,1,1,1,1,1,2,1,0,0,0,1,3,1,2,0,0,0,0,24,1,1
Block_safe1.sol,05,0,1,1,1,1,1,1,2,1,0,0,0,1,3,1,2,0,0,0,0,24,1,1
Block_safe2.sol,05,0,0,0,0,1,1,1,2,1,0,0,0,1,3,1,2,0,0,0,0,24,1,1
Call_ree1.sol,05,1,1,1,1,1,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,15,1,1
Call_safe1.sol,05,0,0,0,0,1,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,15,1,1
CallCons_safe1.sol,05,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1,1
CallEmit_safe1.sol,05,0,0,1,0,1,1,1,2,0,0,1,0,0,2,1,0,0,0,0,0,17,1,1
CallFolded_ree1.sol,05,1,1,1,0,1,1,1,3,0,0,0,0,0,2,0,0,1,0,0,0,18,1,1
CallFolded_ree2.sol,05,1,1,1,0,1,1,1,4,0,0,0,0,0,2,0,0,1,0,0,0,21,1,1
CallFolded_ree3.sol,05,1,1,1,0,2,1,1,6,0,0,0,0,0,2,0,0,1,0,0,0,27,1,1
CallFolded_safe1.sol,05,0,0,0,0,1,1,1,3,0,0,0,0,0,2,0,0,1,0,0,0,18,1,1
CallFolded_safe2.sol,05,0,0,0,0,1,1,1,4,0,0,0,0,0,2,0,0,1,0,0,0,21,1,1
CallFolded_safe3.sol,05,0,0,0,0,2,1,1,6,0,0,0,0,0,2,0,0,1,0,0,0,27,1,1
CallGas_ree1.sol,05,1,1,1,1,1,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,15,1,1
CallGas_safe1.sol,05,0,0,0,0,1,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,15,1,1
CallGas_safe2.sol,05,0,1,1,1,1,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,15,1,1
Cast_ree1.sol,05,1,0,1,1,1,0,0,3,0,0,0,0,0,2,1,0,0,1,0,0,18,1,1
Cast_safe1.sol,05,0,0,0,0,1,0,0,3,0,0,0,0,0,2,1,0,0,1,0,0,18,1,1
Cast_safe2.sol,05,0,0,0,1,1,0,0,3,0,0,1,0,0,2,0,0,0,1,0,0,18,1,1
CastCons_safe1.sol,05,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0
CastCons_safe2.sol,05,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,18,0,0
CastEmit_safe1.sol,05,0,0,1,0,1,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0,19,1,1
CastFolded_ree1.sol,05,1,0,1,0,1,0,0,4,0,0,0,0,0,2,0,0,1,1,0,0,21,1,1
CastFolded_ree2.sol,05,1,0,1,0,1,0,0,5,0,0,0,0,0,2,0,0,1,1,0,0,24,1,1
CastFolded_ree3.sol,05,1,0,1,0,1,0,0,6,0,0,0,0,0,2,0,0,1,1,0,0,27,1,1
CastFolded_safe1.sol,05,0,0,0,0,1,0,0,5,0,0,0,0,0,2,0,0,1,1,0,0,21,1,1
CastFolded_safe2.sol,05,0,0,0,0,1,0,0,6,0,0,0,0,0,2,0,0,1,1,0,0,24,1,1
CastFolded_safe3.sol,05,0,0,0,0,1,0,0,7,0,0,0,0,0,2,0,0,1,1,0,0,27,1,1
Constant_ree1.sol,05,1,1,1,1,1,1,1,4,0,0,0,0,0,3,1,0,0,0,0,0,29,1,1
Constant_safe1.sol,05,0,0,0,0,1,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,16,1,1
Constructor_ree1.sol,05,1,1,1,1,1,1,1,4,0,0,0,0,0,3,1,0,0,0,0,0,32,1,1
Constructor_safe1.sol,05,0,0,0,0,1,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,19,1,1
Create_ree1.sol,05,1,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,1,0,0,46,1,1
Create_ree2.sol,05,1,0,1,0,1,0,0,5,0,0,0,0,0,1,1,0,0,1,0,0,71,1,1
Create_safe1.sol,05,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,22,1,1
Create_safe2.sol,05,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,22,1,1
CrossCall_ree1.sol,05,1,1,1,1,1,1,1,5,0,0,0,0,0,3,0,0,0,0,0,0,22,1,1
CrossCall_safe2.sol,05,0,0,0,0,1,1,1,5,0,0,0,0,0,3,1,0,0,0,0,0,22,1,1
CrossDoubleInit_ree1.sol,05,1,1,1,1,1,1,1,5,1,1,0,0,0,3,0,2,0,0,0,0,55,1,1
CrossDoubleInit_safe1.sol,05,0,1,1,1,1,1,1,3,1,1,0,0,0,3,0,4,0,0,0,0,37,1,1
CrossDoubleInitOpenZeppelin_ree1.sol,05,1,1,1,1,1,1,1,6,1,1,0,0,0,3,0,2,0,0,0,0,57,1,1
CrossDoubleInitOpenZeppelin_safe1.sol,05,0,1,1,1,1,1,1,3,1,1,0,0,0,3,0,4,0,0,0,0,40,1,1
CrossMutex_ree1.sol,05,1,1,1,1,1,1,1,7,0,0,0,1,0,5,1,0,0,0,0,0,44,1,1
CrossMutex_ree2.sol,05,1,1,1,1,1,1,1,4,0,0,0,1,0,5,1,0,0,0,0,0,28,1,1
CrossMutex_ree3.sol,05,1,1,1,1,1,1,1,4,0,0,0,1,0,6,1,0,0,0,0,0,27,1,1
CrossMutex_safe1.sol,05,0,1,1,1,1,1,1,3,0,0,0,1,0,6,1,0,0,0,0,0,27,1,1
CrossMutex_safe2.sol,05,0,1,1,0,1,1,1,4,0,0,0,1,0,6,1,0,0,0,0,0,27,1,1
CrossMutex_safe3.sol,05,0,0,0,0,1,1,1,4,0,0,0,1,0,5,1,0,0,0,0,0,26,1,1
CrossMutex_safe4.sol,05,0,1,1,0,1,1,1,4,0,0,0,1,0,6,1,0,0,0,0,0,27,1,1
CrossMutexMod_ree1.sol,05,1,1,1,1,1,1,1,7,1,1,0,0,0,4,0,2,0,0,0,0,46,1,1
CrossMutexMod_ree2.sol,05,1,1,1,1,1,1,1,4,1,1,0,0,0,4,0,2,0,0,0,0,30,1,1
CrossMutexMod_ree3.sol,05,1,1,1,1,1,1,1,3,1,1,0,0,0,4,0,4,0,0,0,0,28,1,1
CrossMutexMod_safe1.sol,05,0,1,1,1,1,1,1,3,1,1,0,0,0,4,0,3,0,0,0,0,28,1,1
CrossMutexMod_safe2.sol,05,0,0,0,0,1,1,1,4,1,1,0,0,0,4,1,4,0,0,0,0,28,1,1
CrossMutexMod_safe3.sol,05,0,0,0,0,1,1,1,4,1,1,0,0,0,4,1,2,0,0,0,0,28,1,1
CrossMutexMod_safe4.sol,05,0,0,0,0,1,1,1,4,1,1,0,0,0,4,1,3,0,0,0,0,28,1,1
CrossMutexModOrder_ree1.sol,05,1,1,2,0,1,1,1,4,1,1,0,0,0,3,0,3,0,0,0,0,42,1,1
CrossUnderflow_safe1.sol,05,0,1,1,0,1,1,1,5,0,0,0,0,0,3,0,0,0,0,0,0,21,1,1
Human_ree1.sol,05,1,1,1,1,1,1,1,4,1,0,0,0,0,6,1,3,0,0,1,1,37,1,1
Human_safe1.sol,05,0,1,1,1,1,1,1,4,1,0,0,0,0,6,1,3,0,0,0,1,34,1,1
Mutex_ree1.sol,05,1,1,1,1,1,1,1,2,0,0,0,1,0,4,1,0,0,0,0,0,20,1,1
Mutex_ree2.sol,05,1,1,1,1,1,1,1,2,0,0,0,1,0,4,1,0,0,0,0,0,20,1,1
Mutex_ree3.sol,05,1,1,1,1,1,1,1,2,0,0,0,1,0,4,1,0,0,0,0,0,20,1,1
Mutex_ree4.sol,05,1,1,2,1,1,1,1,2,0,0,0,1,0,4,1,0,0,0,0,0,20,1,1
Mutex_ree5.sol,05,1,1,2,1,1,1,1,2,0,0,0,1,0,4,1,0,0,0,0,0,20,1,1
Mutex_safe1.sol,05,0,1,1,1,1,1,1,2,0,0,0,1,0,4,1,0,0,0,0,0,20,1,1
Mutex_safe2.sol,05,0,1,1,0,1,1,1,2,0,0,0,1,0,4,1,0,0,0,0,0,20,1,1
Mutex_safe3.sol,05,0,1,1,0,1,1,1,2,0,0,0,1,0,4,1,0,0,0,0,0,20,1,1
Mutexes_ree1.sol,05,1,1,1,1,1,1,1,2,0,0,0,1,0,4,1,0,0,0,0,0,20,1,1
Mutexes_ree2.sol,05,1,1,1,1,1,1,1,2,0,0,0,1,0,4,1,0,0,0,0,0,20,1,1
Mutexes_ree3.sol,05,1,1,1,1,1,1,1,2,0,0,0,1,0,4,1,0,0,0,0,0,20,1,1
Mutexes_ree4.sol,05,1,1,2,1,1,1,1,2,0,0,0,1,0,4,1,0,0,0,0,0,20,1,1
Mutexes_ree5.sol,05,1,1,2,1,1,1,1,2,0,0,0,1,0,4,1,0,0,0,0,0,20,1,1
Mutexes_safe1.sol,05,0,1,1,1,1,1,1,2,0,0,0,1,0,4,1,0,0,0,0,0,20,1,1
Mutexes_safe2.sol,05,0,1,1,1,1,1,1,2,0,0,0,1,0,4,1,0,0,0,0,0,20,1,1
Mutexes_safe3.sol,05,0,1,1,1,1,1,1,2,0,0,0,1,0,4,1,0,0,0,0,0,20,1,1
MutexesMod_ree1.sol,05,1,0,0,1,1,1,1,2,1,1,0,0,0,3,0,4,0,0,0,0,22,1,1
MutexesMod_ree2.sol,05,1,0,0,1,1,1,1,2,1,1,0,0,0,3,0,2,0,0,0,0,22,1,1
MutexesMod_ree3.sol,05,1,0,0,1,1,1,1,2,1,1,0,0,0,3,0,4,0,0,0,0,22,1,1
MutexesMod_ree4.sol,05,1,0,0,1,1,1,1,2,1,1,0,0,0,3,0,2,0,0,0,0,22,1,1
MutexesMod_ree5.sol,05,1,0,0,1,1,1,1,2,1,1,0,0,0,3,0,2,0,0,0,0,22,1,1
MutexesMod_safe1.sol,05,0,0,0,1,1,1,1,2,1,1,0,0,0,3,0,4,0,0,0,0,22,1,1
MutexesMod_safe2.sol,05,0,0,0,0,1,1,1,2,1,1,0,0,0,3,1,4,0,0,0,0,22,1,1
MutexesMod_safe3.sol,05,0,0,0,0,1,1,1,2,1,1,0,0,0,3,1,4,0,0,0,0,22,1,1
MutexMod_ree1.sol,05,1,0,0,1,1,1,1,2,1,1,0,0,0,3,1,4,0,0,0,0,22,1,1
MutexMod_ree2.sol,05,1,0,0,1,1,1,1,2,1,1,0,0,0,3,1,2,0,0,0,0,22,1,1
MutexMod_ree3.sol,05,1,0,0,1,1,1,1,2,1,1,0,0,0,3,1,4,0,0,0,0,22,1,1
MutexMod_ree4.sol,05,1,0,0,1,1,1,1,2,1,1,0,0,0,3,1,2,0,0,0,0,22,1,1
MutexMod_ree5.sol,05,1,0,0,1,1,1,1,2,1,1,0,0,0,3,1,2,0,0,0,0,22,1,1
MutexMod_safe1.sol,05,0,0,0,1,1,1,1,2,1,1,0,0,0,3,1,4,0,0,0,0,22,1,1
MutexMod_safe2.sol,05,0,0,0,0,1,1,1,2,1,1,0,0,0,3,1,4,0,0,0,0,22,1,1
MutexMod_safe3.sol,05,0,0,0,0,1,1,1,2,1,1,0,0,0,3,1,4,0,0,0,0,22,1,1
OnlyOwner_ree1.sol,05,1,1,1,0,1,1,1,2,1,0,0,0,0,4,1,1,0,0,0,0,33,1,1
OnlyOwner_safe1.sol,05,0,0,0,0,1,1,1,2,1,1,0,0,0,5,1,3,0,0,0,0,40,1,1
Parameter_ree1.sol,05,1,1,1,1,1,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,15,1,1
Parameter_safe1.sol,05,0,0,0,0,1,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,14,1,1
ReadOnly_ree1.sol,05,1,0,1,0,3,1,1,6,0,0,0,0,0,1,1,0,0,1,0,0,46,1,1
ReadOnly_ree2.sol,05,1,0,1,0,3,1,1,6,1,1,0,0,0,2,1,1,0,1,0,0,53,1,1
ReadOnly_ree3.sol,05,1,0,1,0,3,1,1,9,1,0,0,0,0,2,1,1,0,0,0,0,63,0,1
ReadOnly_safe1.sol,05,0,0,1,0,3,1,1,6,1,1,0,0,0,3,1,3,0,1,0,0,49,1,1
ReadOnly_safe2.sol,05,0,0,1,0,3,1,1,6,1,1,0,0,0,4,1,5,0,1,0,0,55,1,1
ReadOnly_safe3.sol,05,0,0,1,0,3,1,1,7,1,1,0,0,0,4,1,5,0,0,0,0,61,0,1
ReadOnlyStaticcall_ree1.sol,05,1,0,1,0,4,1,1,6,0,0,0,0,0,3,1,0,0,1,0,0,52,1,1
ReadOnlyStaticcall_safe1.sol,05,0,0,1,0,4,1,1,6,1,1,0,0,0,6,1,5,0,1,0,0,61,1,1
Send_safe1.sol,05,0,0,1,1,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,15,1,1
Send_safe2.sol,05,0,0,1,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,15,1,1
Send_safe3.sol,05,0,0,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,15,1,1
SendEmit_safe1.sol,05,0,0,1,1,1,0,0,2,0,0,1,0,0,2,1,0,0,0,0,0,17,1,1
TemporalLocker_ree1.sol,05,1,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,58,0,0
TemporalLocker_safe1.sol,05,0,0,0,0,6,0,0,11,1,1,0,0,0,1,0,3,0,1,0,0,65,0,0
TemporalVault_ree1.sol,05,1,0,0,0,7,1,1,11,1,1,0,0,0,7,1,2,0,0,0,0,73,1,1
TemporalVault_ree2.sol,05,1,0,0,0,8,1,1,15,1,1,0,0,0,8,1,2,0,0,0,0,86,1,1
TemporalVault_safe1.sol,05,0,0,0,0,7,1,1,7,1,1,0,0,0,6,1,2,0,0,0,0,47,1,1
This_safe1.sol,05,0,0,1,1,2,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,19,1,1
This_safe2.sol,05,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0
ToTarget_ree1.sol,05,1,1,1,1,1,1,1,5,0,0,0,0,0,2,1,0,0,0,0,0,34,1,1
ToTarget_safe1.sol,05,0,0,0,0,1,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,15,1,1
Transfer_safe1.sol,05,0,0,1,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,14,1,1
Transfer_safe2.sol,05,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,14,1,1
TransferEmit_safe1.sol,05,0,0,1,1,1,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,16,1,1
Underflow_safe1.sol,05,0,1,1,0,1,1,1,3,0,0,0,0,0,2,0,0,0,0,0,0,15,1,1
